article,label
cuanto facturan nacional y millonarios   ganancias de los finalistas colombianos este miercoles se disputara el partido de ida de la gran final del futbol colombiano  entre atletico nacional y millonarios  equipos que arribaron a esta instancia confirmandose como los mejores del primer semestre en el pais  sigue a pulzo en discover  lea despues  final de la liga betplay 2023 1  todo lo que debe saber sobre el nacional vs  millonarios  en lo deportivo  solo 3 puntos distanciaron a ambos equipos al final del todos contra todos  los azules fueron segundos  con 38  y los verdes terminaron terceros  con 35 unidades  despues de los cuadrangulares  la tabla de la reclasificacion muestra a los bogotanos como lideres  ahora con 51 unidades  mientras que el cuadro de medellin lo escolta  con 47  lee tambien esa paridad deportiva  con ventaja para el equipo de alberto gamero  se revierte al mirar las cuentas de ambos clubes  rubro que favorece a los de paulo autuori  el diario la republica muestra que  segun las cuentas de 2020 y 2021  el equipo de medellin facturo 26 700 y 58 900 millones de pesos  respectivamente  la escuadra capitalina  por su parte  consiguio 20 500 y 32 600 millones en esos dos anos  viendose superado ampliamente en ese aspecto  en los ultimos 3 anos nacional gano tres titulos  la copa colombia del 2021  salio campeon en el primer semestre del 2022 y obtuvo la superliga en el 2023  millonarios fue subcampeon en el primer semestre del 2021 y solo gano la copa colombia del 2022  cuanto valen las nominas de nacional y millonarios  de acuerdo con el portal transfermarkt  las nominas de ambos equipos son relativamente parecidas en cuanto a valor  pero vuelve a ser el equipo antioqueno el que gana  aunque por un margen mucho menos amplio   vea tambien  quien paga mas entre nacional y millonarios  asi estan las apuestas para el juego de ida  el plantel de los verdolagas tiene un valor de 22 63 millones de euros y su jugador mas costoso es el arquero kevin mier  con valor de 2 5 millones  sebastian gomez es el segundo  con 2 2 millones  con otros cuatro jugadores por encima del millon de euros  los embajadores  por su parte  tienen una nomina de 20 4 millones de euros y su portero tambien es el mas caro  alvaro montero cuesta 2 4 millones  mientras que andres llinas es segundo  con valor de 2 2 millones  sin embargo  a comparacion de su rival  son otros seis los futbolistas que estan por encima del millon de euros    pulzo com se escribe con z lee todas las noticias de deportes hoy aqui ,Financial variables
  que tanto mercado tienen d1   ara e isimo     empresas   economia  los datos revelados por kantar division worldpanel estan en su estudio consumer insights que reporta los movimientos del negocio del consumo masivo en los primeros tres meses del ano  esto se refleja en los habitos de compra que ha tenido el hogar colombiano  tanto en canales  asi como su evolucion  segun el informe  los discounters  ara  d1 e isimo  pasaron de tener el 21   en la participacion en el valor de mercado al 23    mientras que los tradicionales decrecieron de 16   a 14    y los minimercados de 17   a 16    el documento resalta que isimo  de los mismos duenos de las tiendas olimpica  empieza a tener presencia en los hogares colombianos y al cierre de marzo estuvo en el 1 6   de las familias  lo cual representa alrededor de 157 000 hogares  el analisis agrega que tuvo un crecimiento de penetracion que fue del 0 10   en enero de este ano a 1 20   en marzo  si mantiene el ritmo  la proyeccion es cerrar el semestre con mas de 5   de penetracion  las tiendas d1  que en el ano 2016 puso en operacion 128 locales  tiene cerca de 515 en el pais y abre un promedio de 120 al ano  foto rodrigo sepulveda   el tiempo respecto a los habitos de compra  se revela que en los tres primeros meses del ano se registro un aumento en valor  14 9    de la canasta con frescos  del cual 13 6   se debio al aumento de precios de la canasta y 1 1   es el crecimiento natural del numero de hogares  esto queda por encima de la inflacion  que es de 12 8   a abril 2023  por otro lado  los hogares colombianos siguen disminuyendo su volumen de compra debido al aumento agresivo de los precios de la canasta  mientras el precio promedio unitario tuvo un aumento de 23   el volumen de compra tuvo un decrecimiento  afirmo jaime garcia  country manager de la division worldpanel de kantar colombia  las canastas mas afectadas fueron las basicas del hogar  frescos  lacteos  alimentos y bebidas  mientras que cuidado personal  mascotas y otc  medicamentos de venta libre  estan en terreno positivo  ara sigue creciendo y ofreciendo trabajo  foto istock la restriccion de gasto del shopper hace priorizar el volumen  es decir  elegir muy bien que categorias comprar y darle prioridad a las mas relevantes  e incluso aumentar el consumo de ciertas categorias  no todas las categorias de bienes masivos terminaran el ano en la misma situacion y puede haber nuevos cambios en el consumo porque ante aumentos tan importantes en el precio el consumidor puede empezar a cambiar sus habitos de consumo  ademas  el aumento de la inflacion y la dificultad para reducir aun mas el volumen puede incentivar la migracion hacia productos sustitutos  dijo garcia  otro hallazgo en el reporte es que las marcas propias se vuelven cada vez mas relevantes  especialmente en el primer trimestre del ano donde ganan frecuencia y  mantienen su precio medio  registraron un crecimiento de 26   a 29   de participacion en el volumen entre 2022 y 2023  mientras que la marca comercial decrecio de 74   a 71    el estudio se realizo con una muestra de 6 000 hogares y recogio compras reales de todas las semanas en 60 ciudades del pais  en un universo de 9 8 millones de hogares  con una cobertura del 80   de la poblacion urbana  a hogares con niveles socioeconomicos del 1 al 6  con tamanos familiares de 1 a mas de 5 integrantes  de la generacion millennial  x  y baby boomers  con y sin menores hasta los 12 anos de edad  constanza gomez guasca,Economic activity
  turismo por petroleo    es un discurso que enamora cuando se le escucha alejado de cualquier tipo de contexto  vamos a reemplazar el petroleo por turismo  el petroleo nos esta matando y el turismo nos puede dar el oxigeno que necesitan las venas abiertas de aquellos lugares exoticos y bellos de nuestro pais  pero hoy mas que nunca eso no es posible  no pretendo dejar de lado la necesaria transicion energetica  pero menospreciar los ingresos provenientes de la extraccion de hidrocarburos para poner la mirada en el turismo parece algo mas que inverosimil y desafortunado por estos dias en el pais  en tiempos normales los viajes y el transporte aereo le representan a colombia un promedio de us 5 000 millones al ano  en cambio la exportacion del petroleo y sus derivados cerca de us 20 000 millones  es decir casi cuatro veces mas y estos no son tiempos normales  entonces  pretendemos remplazar la boyante industria del petroleo por los ingresos de un turismo en crisis  es hora de cambiar  o por lo menos  moderar el discurso  poner los pies en la tierra y entender que viva air y ultra air estan en quiebra  que en un pais en donde siempre ha sido muy caro viajar en avion dos de las aerolineas que ofrecian tiquetes a bajo costo estan fuera de operacion  que eso significa 30  menos de oferta en tiquetes y que justo en esta corta temporada de vacaciones varias ciudades tienen hasta 70  menos ocupacion  nuestra joya  san andres  atraviesa la mas dificil situacion economica  hoy en dia solo hay ocho vuelos diarios a la isla cuando en una temporada de vacaciones se podian contar hasta 35   si el gobierno pretende revertir esta realidad y vender el discurso de turismo por petroleo debe tomar medidas urgentes  sin embargo  lo que se le ve  es todo lo contrario  el ano pasado termino la vigencia de la ley de turismo que permitia una reduccion del iva en los tiquetes de 19 a 5   y pese al llamado de atencion y jalon de orejas de varios operadores  no se hizo nada al respecto  si  estamos en epoca de crisis  pero aun en condiciones normales la industria del turismo en colombia no tiene condiciones  es cuestion de infraestructura  de vias de acceso  pero sobre todo de confianza  la confianza que pueden  o mas bien no tienen los viajeros a la hora de llegar a sus destinos  se siente inseguridad frente a la amenaza de grupos armados organizados e inseguridad frente a la amenaza de la delincuencia comun que cada vez pesa mas en los indicadores del bienestar urbano  no hace mucho se conocio un estudio realizado por el consejo para la seguridad publica en mexico que revela que entre las ciudades mas inseguras del mundo  vergonzosamente hay varias colombianas  cali  santa marta  buenaventura  cartagena  palmira y cucuta  colombia no esta preparada para el discurso de que el turismo puede reemplazar el petroleo  primero habra que reparar los profundos danos que hay en ese sector  suplir el vacio que dejo la quiebra de dos aerolineas  construir infraestructura y garantizar la seguridad  y esto apenas para regresar a una situacion de normalidad  despues sera hora de fortalecer este renglon economico con promocion y beneficios tributarios que incluyan a viajeros  aerolineas   hoteles y todos los actores relacionados en esta cadena de valor  asi que a volar menos y a aterrizar mas ,Economic activity
daniel arenas tuvo reencuentro en colombia sin mencionar a daniela alvarez al tambien actor lo sorprendieron en el programa que trabaja  hoy dia  de telemundo   con una parranda vallenata  su comida favorita y un mensaje muy especial que recibio desde colombia  sigue a pulzo en discover  vea tambien  daniel arenas se emociono por amoroso mensaje en el que no estuvo daniella alvarez  no obstante  arenas que se mudo a estados unidos  sin daniella alvarez  a principios del 2023 no se quedo con las ganas de ver a sus seres amados e hizo un viaje expres para compartir con ellos  en territorio colombiano  el presentador paso momentos muy especiales y volvio a ver a una persona muy especial para el  aunque no dio el nombre  algunos creen que se trata de daniella alvarez  lee tambien daniel arenas habla de persona especial con la que se reencontro en colombia en sus historias de instagram  el santandereano les conto a sus seguidores que estaba perdido de sus redes sociales porque estaba dedicado en pasar tiempo con sus seres queridos   vea tambien  daniel arenas hablo de tema personal que lo afecta  te amo y te extrano todos los dias  fue no solo un dia  sino un fin de semana maravilloso en mi colombia  rodeado de la gente que amo  personas que aprecio muchisimo  reencuentros maravillosos que tuve  declaro  como se escucha a continuacion  el actor prosiguio y le agradecio especialmente a una persona que lo hizo pasar buenos momentos  una de esas personas que estuvo conmigo  no solo es dia  de cumpleanos   sino todo el fin de semana  por todo su amor  por todo su carino y un cumpleanos muy feliz para mi  le mando un gran beso y un gran abrazo   vea tambien  daniel arenas habria dado pista de relacion con daniella alvarez  luego de acoso de famosa  las palabras del santandereano abren mas las dudas de si en realidad termino con alvarez  como se venia rumorando  o si decidieron mantener su relacion en privado ,Communications
21 obras nuevas del museo la tertulia   blogs el espectador los editores de los blogs son los unicos responsables por las opiniones  contenidos  y en general por todas las entradas de informacion que deposite en el mismo  elespectador com no se hara responsable de ninguna accion legal producto de un mal uso de los espacios ofrecidos  si considera que el editor de un blog esta poniendo un contenido que represente un abuso  contactenos ,Education
el mejor pandebono de colombia sera reconocido   estos seran los premios el pandebono  uno de los tesoros mas representativos de la gastronomia colombiana  esta a punto de recibir una gran distincion en el concurso  pan de bold   este evento  que comenzo el 21 de agosto  esta disenado para encontrar el pandebono mas exquisito del pais y celebrara la habilidad de los panaderos colombianos en la elaboracion de este delicioso panecillo  organizado por bold en colaboracion con el chef nicolas de zubiria  el concurso busca resaltar y premiar la tradicion y el talento en la elaboracion de pandebonos  un producto que ha conquistado el paladar de los colombianos  la competencia se desarrollara en tres fases principales  cada una destinada a garantizar una evaluacion justa y accesible para todos  la primera fase del concurso se centra en la inscripcion de las panaderias participantes  que deben estar vinculadas a bold  este proceso  abierto desde el 21 hasta el 27 de agosto  permite a los panaderos interesados registrarse siguiendo las instrucciones publicadas en las cuentas de instagram de somosbold y nicodezubiria  como se seleccionara el mejor pandebono en el concurso pan de bold  una vez completada la inscripcion  se llevara a cabo una votacion abierta al publico para seleccionar a los 10 finalistas  estos finalistas tendran la oportunidad de ofrecer sus pandebonos a un precio promocional de  1 000 durante un dia  permitiendo que un mayor numero de personas pruebe y vote por su favorito  este evento promete ser una gran oportunidad para que los colombianos disfruten de una amplia variedad de pandebonos y participen activamente en el concurso  en la etapa final del concurso  los ganadores seran determinados a traves de una dinamica en instagram  donde el panadero que reciba la mayor cantidad de comentarios sera coronado como el mejor  los premios que recibiran los finalistas por hacer los mejores pandebonos de colombia los premios para los ganadores suman un total de 10 millones de pesos  el primer lugar recibira  5 000 000  el segundo lugar  3 000 000 y el tercero  2 000 000  ademas  los tres primeros recibiran de forma gratuita el ultimo modelo de datafono disenado por bold  una herramienta que promete transformar las ventas de sus negocios  el anuncio de los ganadores se realizara el 19 de septiembre  y el panadero que obtenga el primer lugar tendra el honor de ofrecer una master class junto al chef nicolas de zubiria  esta clase  abierta al publico y patrocinada por bold  sera una oportunidad para aprender la receta del pandebono perfecto y experimentar de primera mano los secretos de este iconico producto colombiano  el proceso para elegir el mejor pandebono en el concurso pan de bold incluye varias etapas  comenzando con la inscripcion de panaderias y culminando con una votacion publica  los detalles y las dinamicas del concurso estan disenados para permitir una participacion amplia y justa  los premios del concurso pan de bold incluyen significativos incentivos financieros y herramientas innovadoras para los panaderos  ademas de una exclusiva oportunidad para el primer lugar de compartir su receta en una master class con el chef nicolas de zubiria ,Economic activity
ilusionan a colombianos que suenan con ee   uu    eliminacion de la visa estaria cerca obtener la visa americana es el sueno de muchos colombianos que buscan pisar este territorio  ya sea para buscar nuevas oportunidades laborales  educativas o simplemente por turismo  sin embargo  es un proceso tedioso para muchos  pues para nadie es un secreto que la mision diplomatica de ese pais es rigurosa en la escogencia de los ciudadanos que reciben la aprobacion  por ello  el porcentaje de negacion en algunas epocas tiende a ser elevado  errores en la informacion  solicitud de un tipo de visa incorrecta  antecedentes penales y problemas de salud  o hasta un embarazo pueden complicar la solicitud de este documento  que es obligatorio para entrar a ese pais por la via legal  la visa de turista es una de las mas solicitadas por colombianos para entrar a ese pais    foto  getty images quitaran visa americana para colombia  el gobierno del presidente gustavo petro hizo una propuesta en su primer ano de gobierno  con la que buscaria que el gobierno estadounidense elimine ese requisito de visado para nacionales colombianos  esto  buscando que el pais tenga un programa similar al que hay en chile  que permite a sus ciudadanos viajar a estados unidos sin ese documento  siempre y cuando esten aprobados en el sistema electronico de autorizacion de viajes  para esa tarea fue designado el embajador colombiano en ee  uu   luis gilberto murillo  quien desde hace algunos meses ha mantenido diferentes conversaciones con funcionarios migratorios y diferentes representantes para avanzar en dicho proceso  el diplomatico sostuvo un encuentro este jueves con cinco altos funcionarios  julie stufft  subsecretaria de estado adjunta para servicios consulares  adam hunter  subsecretario adjunto de politica migratoria del departamento de seguridad nacional  david cloe  subsecretario adjunto para el hemisferio occidental del departamento de seguridad nacional  holly holzer  coordinadora principal de asuntos migratorios y wendy ryde  consul general de la embajada de ee  uu  en bogota  este encuentro es un punto de partida para el inicio de las conversaciones en torno a la exencion de la visa  de hecho  murillo destaco que despues de 4 anos  se reinicio la etapa en la relacion consular entre ambos paises  luis gilberto murillo volvio a enviar un mensaje de esperanza a los colombianos que buscan viajar a estados unidos   foto  getty images   nurphoto especificamente se trataron temas como las vias legales de migracion a traves de mecanismos como visados de no inmigrante  acceso a categorias de visas temporales y que son inaccesibles  ademas de la convalidacion de titulos de colombianos en los estados unidos  la cooperacion para asistir a connacionales y el programa de reunificacion familiar  que fue abierto recientemente por esa nacion  durante este encuentro se abordaron temas de interes mutuo  sobre todo los asuntos migratorios desde un angulo diferente para permitir la migracion humana y la movilidad segura y solidaria  comento el funcionario a traves de x  que se necesita actualmente para sacar la visa americana en colombia  aunque parezca un proceso engorroso  lo cierto es que si proporciona todos los documentos  cumple los requisitos y dice toda la verdad  este sera exitoso y podra obtener el documento para entrar a ese pais  recuerde que para hacer la solicitud en colombia necesita contar  si o si  con un pasaporte colombiano  sin este  es imposible adelantar el proceso  luego  debe tener en cuenta que el oficial consular analizara su perfil y mas concretamente el riesgo para ese pais de que usted se quede viviendo ilegalmente alli  por ello  entre mayor arraigo tenga a su pais de origen  el gobierno estadounidense estara mas tranquilo  estados unidos es el destino sonado de muchos colombianos  si desea sacar la visa para ese pais  tenga en cuenta todos los procesos que debe seguir    foto  getty images istockphoto el arraigo se puede evidenciar en la cantidad de propiedades que tenga en colombia  a que se dedica en el pais  cual es su trabajo y hasta con cuales familiares reside en su hogar  esto les permitira saber que tan probable es que usted abandone su vida para mudarse a un nuevo lugar ,"Economic, Social, and Geopolitical Policy"
semana santa en colombia   quienes trabajan estos festivos y cuanto cobran mientras muchos colombianos disfrutan de las vacaciones que se establecen por esta festividad catolica  hay una cantidad significativa de personas que no tienen mas opcion que trabajar durante los festivos de esta semana  ya sea por necesidades economicas o por exigencias laborales  sigue a pulzo en discover  vea tambien  horario de bancos en semana santa 2023  que dias cierran en colombia   quienes tienen que trabajar en semana santa  getty  normalmente las personas que deben hacer sus labores cotidianas en estas fechas son aquellas que tienen empleos relacionados con la seguridad y el bienestar de la poblacion  como por ejemplo los conductores del transporte publico  los duenos de los restaurantes  los empleados de las tiendas  entre otros  cuanto le deben pagar si trabaja jueves y viernes santo  getty  los trabajadores que deban cumplir con sus asignaciones tendran que recibir su salario junto a un recargo que se especifica en el articulo 179 del codigo sustantivo del trabajo  ya que alli se expresa que  el trabajo en domingo y festivos se remunerara con un recargo del setenta y cinco por ciento  75    sobre el salario ordinario en proporcion a las horas laboradas  esto se establecio porque durante esos dias suele haber una mayor carga laboral debido al aumento en la demanda de servicios y ademas  puede ser desgastante emocionalmente para quienes estan trabajando mientras otros comparten con sus familias   vea tambien  en semana santa tambien se reza en centros comerciales  vea horarios de sus eucaristias  como puede calcular cuanto le deben dar por trabajar los festivos de semana santa  a continuacion encontrara los pasos que debe seguir para obtener la cantidad total  1  anote el salario que esta recibiendo cada mes  2  calcule a cuanto equivale una hora de su trabajo  3  multiplique el precio de la hora por 0 75  teniendo en cuenta que el recargo es de 75    lee tambien 4  haga la misma operacion con el resultado y el numero ocho  ya que son las horas que usted trabaja en el dia   este articulo fue creado con ayuda de robby bienestar  una inteligencia artificial que utiliza machine learning para producir texto similar al humano  y curado por un periodista de pulzo ,Economic activity
pinta de andrea guerrero en transmision de rcn previo a colombia vs   venezuela regresan las eliminatorias sudamericanas y la seleccion colombia se alista para enfrentar a su similar de venezuela  en el primer partido de la competencia  la tricolor buscara un triunfo y asi empezar con el pie derecho este nuevo camino  con miras al proximo mundial  sigue a pulzo en discover precisamente  previo al juego entre la tricolor y el combinado venezolano  los periodistas ricardo henao calderon y andrea guerrero empezaron la transmision desde el estadio metropolitano  roberto melendez  de la ciudad de barranquilla   lea tambien   en vivo  partidos de eliminatorias sudamericanas hoy y clasificados conmebol al mundial  con un ambiente festivo  ambos hablaron sobre lo que se espera en el juego de la seleccion  asimismo  estrenaron uniforme para comentar el partido de esta tarde  lo curioso del caso fue que andrea guerrero  que hace unos dias se fue del pais  le puso su estilo a la vestimenta utilizando y llamando la atencion de varios televidentes  que reaccionaron en redes sociales   lea tambien  jugadores de la seleccion colombia que se verian gordos o delgados por numero de camiseta  esta es la imagen del hecho  donde ver colombia vs  venezuela hoy en television para esta oportunidad  seran dos canales nacionales los encargados de transmitir las clasificatorias mundialistas  el primero es el tradicional caracol television  mientras que el segundo es rcn television  que prepara este gran reto con todo un equipo de periodistas  hay que recordar que despues de enfrentar a venezuela  la seleccion colombia se medira ante chile en condicion de visitante  el proximo martes 12 de septiembre desde las 7 30 p  m    pulzo com se escribe con z lee todas las noticias de deportes hoy aqui ,Communications
guia de emprendedores colombianos en espana de procolombia   sectores   economia  procolombia  la entidad del gobierno de colombia que promueve la inversion de la marca pais en el mundo  y que depende del ministerio de comercio  industria y turismo de colombia  crei la primera guia de emprendedores colombianos en espana que reune 311 iniciativas en 103 categorias para el periodo 2021 2022  su objetivo es visibilizar y recopilar actividades empresariales de esta comunidad a lo largo de la geografia espanola y asi crear una herramienta para que los empresarios espanoles tengan toda la oferta colombiana un clic de distancia  el objetivo es que los mpresarios puedan acceder a la oferta nacional solo por un clic  foto procolombia cortesia  la guia se ira fortaleciendo con nuevos negocios colombianos en espana  muchos de los cuales demandan productos colombianos como insumos que son la semilla de nuevas exportaciones del pais   explica silverio gomez  director de procolombia en espana  entre los criterios de seleccion de las empresas es que sean establecidas legalmente  con capacidad de produccion suficiente para atender los requerimientos y calidad de su sector  y que sean colombianas  ademas  la clasificacion de categorias se definio asi  produccion a pequena escala  cafeteria  diseno de moda  envios  fotografia  guias de viaje  interiorismo  joyeria y bisuteria  licores  manicurista  panaderia  barberia  reformas y construccion  servicios de salud y otros  tecnologia o zapateria  entre otros  entre tanto  el lanzamiento de esta guia se hara en el marco de la quinta feria de servicios promovida por el consulado general central de colombia en madrid  colombia nos une  y que apoya procolombia  el 15 y 16 de octubre en la plazoleta de las cuatro torres de madrid  el acceso se realizara por medio de los codigos qr distribuidos en el stand de procolombia para la ocasion o bien a traves del siguiente link emprendedores procolombia es ademas  los interesados en participar de ella se debe enviar su solicitud a madrid procolombia co la comunidad de colombianos en espana actualmente ronda las 600 000 personas  segun datos de la mision diplomatica colombiana  informo procolombia en un comunicado  y de acuerdo con informacion de la ceoe  las exportaciones de espana al mercado colombiano fueron de 1 101 8 millones de euros en 2021  un 48 1 por ciento mas que el ano anterior  mientras que colombia exporto a espana una cifra de 610 millones de euros en 2021  un 29 4 por ciento mas que en 2020  situando a espana como el pais treceavo  13o  destino de las exportaciones colombianas  agrego procolombia  tambien puede leer ,Economic activity
